"","Depth","Time","Temperature","sd","sdpos","sdneg","Index","Median","Mean","Max","Min"
"1",6,"00:00:00",28.5096666666667,0.0288675134594817,28.5385341801261,28.4807991532072,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"2",6,"06:45:00",28.5593333333333,0.075830952343574,28.6351642856769,28.4835023809898,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"3",6,"05:05:00",28.5346666666667,0.0144337567297398,28.5491004233964,28.5202329099369,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"4",6,"11:50:00",28.7996666666667,0.165306785502995,28.9649734521697,28.6343598811637,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"5",6,"10:10:00",28.8163333333333,0.108629339192196,28.9249626725255,28.7077039941411,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"6",6,"01:45:00",28.5096666666667,0.0288675134594817,28.5385341801261,28.4807991532072,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"7",6,"00:05:00",28.5096666666667,0.0144337567297419,28.5241004233964,28.4952329099369,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"8",6,"06:50:00",28.5676666666667,0.0655769268366037,28.6332435935033,28.5020897398301,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"9",6,"05:10:00",28.5263333333333,0.0288675134594817,28.5552008467928,28.4974658198739,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"10",6,"11:55:00",28.7996666666667,0.165306785502995,28.9649734521697,28.6343598811637,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"11",6,"10:15:00",28.775,0.100458946838995,28.875458946839,28.674541053161,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"12",6,"01:50:00",28.5096666666667,0.0721687836487032,28.5818354503154,28.437497883018,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"13",6,"00:10:00",28.518,0.0250000000000004,28.543,28.493,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"14",6,"06:55:00",28.576,0.0623858958419282,28.6383858958419,28.5136141041581,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"15",6,"05:15:00",28.5346666666667,0.0381881307913,28.572854797458,28.4964785358754,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"16",6,"12:00:00",28.7996666666667,0.165306785502995,28.9649734521697,28.6343598811637,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"17",6,"10:20:00",28.833,0.112214081112844,28.9452140811128,28.7207859188872,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"18",6,"01:55:00",28.518,0.0891683800458447,28.6071683800458,28.4288316199542,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"19",6,"00:15:00",28.5263333333333,0.0381881307913,28.5645214641246,28.488145202542,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"20",6,"07:00:00",28.576,0.0623858958419282,28.6383858958419,28.5136141041581,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"21",6,"05:20:00",28.543,0.0500000000000007,28.593,28.493,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"22",6,"12:05:00",28.7913333333333,0.150918300193626,28.942251633527,28.6404150331397,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"23",6,"10:25:00",28.7916666666667,0.108398954484503,28.9000656211512,28.6832677121822,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"24",6,"02:00:00",28.5263333333333,0.0629152869605895,28.5892486202939,28.4634180463727,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"25",6,"00:20:00",28.5263333333333,0.0381881307913,28.5645214641246,28.488145202542,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"26",6,"07:05:00",28.5843333333333,0.075830952343574,28.6601642856769,28.5085023809898,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"27",6,"05:25:00",28.551,0.0623858958419301,28.6133858958419,28.4886141041581,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"28",6,"12:10:00",28.849,0.143760217028218,28.9927602170282,28.7052397829718,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"29",6,"10:30:00",28.7666666666667,0.0860251901092548,28.8526918567759,28.6806414765574,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"30",6,"02:05:00",28.5346666666667,0.0381881307913,28.572854797458,28.4964785358754,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"31",6,"00:25:00",28.5426666666667,0.0655769268366051,28.6082435935033,28.4770897398301,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"32",6,"07:10:00",28.601,0.0623858958419301,28.6633858958419,28.5386141041581,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"33",6,"05:30:00",28.551,0.0623858958419301,28.6133858958419,28.4886141041581,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"34",6,"12:15:00",28.8823333333333,0.075830952343574,28.9581642856769,28.8065023809898,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"35",6,"10:35:00",28.775,0.145917785070908,28.9209177850709,28.6290822149291,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
"36",6,"02:10:00",28.5263333333333,0.0520416499866538,28.57837498332,28.4742916833467,100,28.6006666666667,28.6488871527778,28.9236666666667,28.4846666666667
