"","Depth","Time","Temperature","sd","sdpos","sdneg","Index","Median","Mean","Max","Min"
"1",20,"00:00:00",26.7685,0.0346482322781405,26.8031482322781,26.7338517677219,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"2",20,"06:05:00",26.72,0,26.72,26.72,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"3",20,"12:10:00",27.063,0.236736140037807,27.2997361400378,26.8262638599622,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"4",20,"18:15:00",26.8096666666667,0.0619219939386113,26.8715886606053,26.7477446727281,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"5",20,"02:05:00",26.732,0.0169705627484778,26.7489705627485,26.7150294372515,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"6",20,"00:05:00",26.7685,0.0346482322781405,26.8031482322781,26.7338517677219,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"7",20,"06:10:00",26.72,0,26.72,26.72,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"8",20,"12:15:00",27.0713333333333,0.242285644092533,27.3136189774259,26.8290476892408,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"9",20,"18:20:00",26.8096666666667,0.0619219939386113,26.8715886606053,26.7477446727281,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"10",20,"02:10:00",26.732,0.0169705627484778,26.7489705627485,26.7150294372515,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"11",20,"00:10:00",26.7685,0.0346482322781405,26.8031482322781,26.7338517677219,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"12",20,"06:15:00",26.72,0,26.72,26.72,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"13",20,"12:20:00",27.0466666666667,0.228127888109572,27.2747945547762,26.8185387785571,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"14",20,"18:25:00",26.8096666666667,0.0619219939386113,26.8715886606053,26.7477446727281,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"15",20,"02:15:00",26.732,0.0169705627484778,26.7489705627485,26.7150294372515,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"16",20,"00:15:00",26.7685,0.0346482322781405,26.8031482322781,26.7338517677219,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"17",20,"06:20:00",26.72,0,26.72,26.72,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"18",20,"12:25:00",27.063,0.236736140037807,27.2997361400378,26.8262638599622,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"19",20,"18:30:00",26.8013333333333,0.0619219939386113,26.8632553272719,26.7394113393947,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"20",20,"02:20:00",26.732,0.0169705627484778,26.7489705627485,26.7150294372515,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"21",20,"00:20:00",26.7565,0.0176776695296627,26.7741776695297,26.7388223304703,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"22",20,"06:25:00",26.7075,0.0176776695296627,26.7251776695297,26.6898223304703,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"23",20,"12:30:00",27.0713333333333,0.242285644092533,27.3136189774259,26.8290476892408,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"24",20,"18:35:00",26.8096666666667,0.051081634011976,26.8607483006786,26.7585850326547,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"25",20,"02:25:00",26.732,0.0169705627484778,26.7489705627485,26.7150294372515,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"26",20,"00:25:00",26.7565,0.0176776695296627,26.7741776695297,26.7388223304703,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"27",20,"06:30:00",26.7075,0.0176776695296627,26.7251776695297,26.6898223304703,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"28",20,"12:35:00",27.0796666666667,0.227930544976607,27.3075972116433,26.8517361216901,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"29",20,"18:40:00",26.8016666666667,0.0565803263805848,26.8582469930472,26.7450863402861,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"30",20,"02:30:00",26.732,0.0169705627484778,26.7489705627485,26.7150294372515,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"31",20,"00:30:00",26.7565,0.0176776695296627,26.7741776695297,26.7388223304703,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"32",20,"06:35:00",26.7075,0.0176776695296627,26.7251776695297,26.6898223304703,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"33",20,"12:40:00",27.0793333333333,0.208840449466414,27.2881737827997,26.8704928838669,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"34",20,"18:45:00",26.8096666666667,0.051081634011976,26.8607483006786,26.7585850326547,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"35",20,"02:35:00",26.732,0.0169705627484778,26.7489705627485,26.7150294372515,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"36",20,"00:35:00",26.7565,0.0176776695296627,26.7741776695297,26.7388223304703,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"37",20,"06:40:00",26.7195,0.0346482322781405,26.7541482322781,26.6848517677219,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
"38",20,"12:45:00",27.0876666666667,0.214159597808115,27.3018262644748,26.8735070688586,100,26.7973333333333,26.845634837963,27.1443333333333,26.7075
