"","Depth","PAR_rel_six"
"1",120,0.0151215800354202
"2",90,0.0614923604236951
"3",60,0.175403863895006
"4",60,0.176411250951159
"5",40,0.31451620505983
"6",20,0.605846346538454
"7",6,1
