"","Pressure_DBar","Dissolved_Oxygen","Temperature","Conductivity_Salinity","Fluorometry","PAR","PAR2","Temp2","PAR3","Temperature3","Temperature4"
"58",1.384,0.417,28.516,58.774,0.204,983.533,0.816149001319404,1.00323670137912,NA,NA,NA
"59",1.395,0.421,28.513,58.778,0.207,970.06,0.804968923482893,1.00313115676893,NA,NA,NA
"60",1.398,0.425,28.519,58.778,0.214,956.587,0.793788845646383,1.0033422459893,957.977,28.5174285714286,1.0032869607173
"61",1.391,0.429,28.519,58.764,0.22,943.114,0.782608767809873,1.0033422459893,NA,NA,NA
"62",1.389,0.433,28.52,58.758,0.226,934.132,0.775155382585533,1.00337742752603,NA,NA,NA
"63",1.387,0.437,28.52,58.764,0.223,918.413,0.762111543536168,1.00337742752603,NA,NA,NA
"64",1.372,0.441,28.518,58.766,0.221,910.928,0.755900389182551,1.00330706445258,NA,NA,NA
"65",1.355,0.453,28.518,58.768,0.233,913.922,0.758384850923997,1.00330706445258,914.456857142857,28.5195714285714,1.00336234972458
"66",1.342,0.457,28.522,58.766,0.231,913.174,0.757764150395406,1.00344779059949,NA,NA,NA
"67",1.335,0.457,28.52,58.764,0.225,907.186,0.752795226912513,1.00337742752603,NA,NA,NA
"68",1.329,0.461,28.519,58.762,0.227,903.443,0.749689234828934,1.0033422459893,NA,NA,NA
"69",1.322,0.465,28.519,58.762,0.226,903.443,0.749689234828934,1.0033422459893,NA,NA,NA
"70",1.311,0.465,28.518,58.762,0.23,908.683,0.754037457783236,1.00330706445258,910.821285714286,28.5175714285714,1.00329198665112
"71",1.297,0.473,28.511,58.766,0.237,918.413,0.762111543536168,1.00306079369547,NA,NA,NA
"72",1.286,0.481,28.517,58.77,0.239,919.162,0.7627330738783,1.00327188291585,NA,NA,NA
"73",1.274,0.489,28.519,58.778,0.236,915.419,0.759627081794721,1.0033422459893,NA,NA,NA
"74",1.26,0.489,28.522,58.784,0.231,916.916,0.760869312665444,1.00344779059949,NA,NA,NA
"75",1.244,0.489,28.52,58.792,0.232,923.653,0.76645976649047,1.00337742752603,922.904285714286,28.5225714285714,1.00346789433477
"76",1.226,0.489,28.521,58.798,0.233,930.389,0.772049390501954,1.00341260906276,NA,NA,NA
"77",1.212,0.489,28.527,58.802,0.24,937.126,0.77763984432698,1.00362369828314,NA,NA,NA
"78",1.179,0.493,28.532,58.804,0.249,917.665,0.761490843007576,1.00379960596679,NA,NA,NA
"79",1.171,0.501,28.534,58.802,0.253,904.94,0.750931465699657,1.00386996904025,NA,NA,NA
"80",1.158,0.505,28.5315,58.794,0.2535,889.97,0.738509156992424,1.00378201519842,901.839285714286,28.5320714285714,1.0038021189337
"81",1.154,0.501,28.536,58.792,0.255,888.473,0.7372669261217,1.00394033211371,NA,NA,NA
"82",1.156,0.509,28.532,58.79,0.257,884.731,0.734161763851663,1.00379960596679,NA,NA,NA
"83",1.167,0.509,28.532,58.796,0.246,889.97,0.738509156992424,1.00379960596679,NA,NA,NA
"84",1.181,0.513,28.527,58.802,0.239,890.719,0.739130687334556,1.00362369828314,NA,NA,NA
"85",1.216,0.517,28.524,58.806,0.233,887.725,0.736646225593109,1.00351815367295,887.511,28.5257142857143,1.00357846487877
"86",1.23,0.517,28.523,58.808,0.23,887.725,0.736646225593109,1.00348297213622,NA,NA,NA
"87",1.256,0.521,28.522,58.808,0.235,890.719,0.739130687334556,1.00344779059949,NA,NA,NA
"88",1.327,0.521,28.52,58.81,0.226,880.988,0.731055771768084,1.00337742752603,NA,NA,NA
"89",1.362,0.521,28.52,58.812,0.224,863.024,0.716149001319404,1.00337742752603,NA,NA,NA
"90",1.41,0.525,28.521,58.8,0.222,846.557,0.702484461741447,1.00341260906276,857.142857142857,28.52,1.00337742752603
"91",1.451,0.529,28.521,58.798,0.215,841.317,0.698136238787145,1.00341260906276,NA,NA,NA
"92",1.482,0.541,28.515,58.792,0.205,840.569,0.697515538258553,1.00320151984239,NA,NA,NA
"93",1.506,0.553,28.521,58.782,0.2,836.826,0.694409546174975,1.00341260906276,NA,NA,NA
"94",1.532,0.521,28.518,58.78,0.197,834.581,0.69254661477566,1.00330706445258,NA,NA,NA
"95",1.545,0.533,28.522,58.782,0.197,835.329,0.693167315304251,1.00344779059949,834.2065,28.5217142857143,1.00343773873186
"96",1.551,0.5975,28.5265,58.783,0.2045,830.464,0.689130272427785,1.00360610751478,NA,NA,NA
"97",1.559,0.617,28.5245,58.779,0.2055,827.8445,0.686956575857405,1.00353574444132,NA,NA,NA
"98",1.549,0.646,28.525,58.792,0.214,833.832,0.691925084433528,1.00355333520968,NA,NA,NA
"99",1.544,0.658,28.526,58.798,0.22,836.826,0.694409546174975,1.00358851674641,NA,NA,NA
"100",1.54,0.666,28.525,58.806,0.222,835.329,0.693167315304251,1.00355333520968,830.945071428571,28.5252142857143,1.00356087411041
"101",1.539,0.682,28.524,58.812,0.222,831.587,0.690062153034213,1.00351815367295,NA,NA,NA
"102",1.527,0.698,28.526,58.812,0.225,826.347,0.685713930079911,1.00358851674641,NA,NA,NA
"103",1.508,0.698,28.526,58.816,0.228,824.85,0.684471699209188,1.00358851674641,NA,NA,NA
"104",1.497,0.706,28.521,58.814,0.229,826.347,0.685713930079911,1.00341260906276,NA,NA,NA
"105",1.475,0.726,28.524,58.8,0.229,833.084,0.691304383904937,1.00351815367295,832.976714285714,28.5245714285714,1.00353825740823
"106",1.455,0.738,28.525,58.794,0.23,838.323,0.695651777045698,1.00355333520968,NA,NA,NA
"107",1.445,0.75,28.524,58.798,0.231,842.814,0.699378469657868,1.00351815367295,NA,NA,NA
"108",1.438,0.77,28.526,58.786,0.228,839.072,0.69627330738783,1.00358851674641,NA,NA,NA
"109",1.429,0.79,28.528,58.786,0.222,830.838,0.689440622692081,1.00365887981987,NA,NA,NA
"110",1.426,0.826,28.522,58.786,0.219,829.341,0.688198391821358,1.00344779059949,838.002285714286,28.5247142857143,1.00354328334205
"111",1.431,0.862,28.528,58.782,0.217,835.329,0.693167315304251,1.00365887981987,NA,NA,NA
"112",1.434,0.91,28.522,58.782,0.217,841.317,0.698136238787145,1.00344779059949,NA,NA,NA
"113",1.437,0.954,28.523,58.784,0.218,847.305,0.703105162270038,1.00348297213622,NA,NA,NA
"114",1.447,0.99,28.524,58.788,0.216,845.808,0.701862931399315,1.00351815367295,NA,NA,NA
"115",1.474,1.034,28.522,58.786,0.22,843.563,0.7,1.00344779059949,845.594285714286,28.5227142857143,1.00347292026859
"116",1.507,1.075,28.525,58.78,0.227,848.802,0.704347393140761,1.00355333520968,NA,NA,NA
"117",1.574,1.139,28.522,58.766,0.245,849.551,0.704968923482894,1.00344779059949,NA,NA,NA
"118",1.649,1.131,28.521,58.762,0.251,842.814,0.699378469657868,1.00341260906276,NA,NA,NA
"119",1.7,1.395,28.518,58.766,0.254,834.581,0.69254661477566,1.00330706445258,NA,NA,NA
"120",1.747,3.925,28.518,58.768,0.248,820.359,0.680745006597018,1.00330706445258,820.145428571429,28.5195714285714,1.00336234972458
"121",1.774,5.104,28.519,58.774,0.241,801.647,0.665217535619746,1.0033422459893,NA,NA,NA
"122",1.805,8.572,28.522,58.778,0.239,797.156,0.661490843007576,1.00344779059949,NA,NA,NA
"123",1.827,9.851,28.517,58.776,0.244,794.91,0.659627081794721,1.00327188291585,NA,NA,NA
"124",1.857,10.457,28.52,58.774,0.246,800.15,0.663975304749023,1.00337742752603,NA,NA,NA
"125",1.875,9.799,28.514,58.78,0.245,806.886,0.669564928760508,1.00316633830566,801.325857142857,28.519,1.0033422459893
"126",1.93,10.633,28.519,58.778,0.246,806.886,0.669564928760508,1.0033422459893,NA,NA,NA
"127",1.966,9.122,28.522,58.77,0.244,805.389,0.668322697889784,1.00344779059949,NA,NA,NA
"128",2.019,7.77,28.519,58.768,0.242,797.904,0.662111543536167,1.0033422459893,NA,NA,NA
"129",2.075,3.075,28.519,58.766,0.235,790.419,0.655900389182551,1.0033422459893,NA,NA,NA
"130",2.131,2.734,28.519,58.766,0.227,783.683,0.650310765171066,1.0033422459893,814.959428571429,28.5201428571429,1.00338245345985
"131",2.151,3.5365,28.519,58.77,0.21,995.883,0.826397198549486,1.0033422459893,NA,NA,NA
"132",2.201,3.601,28.524,58.766,0.221,765.719,0.635403994722386,1.00351815367295,NA,NA,NA
"133",2.223,3.717,28.519,58.766,0.219,765.719,0.635403994722386,1.0033422459893,NA,NA,NA
"134",2.243,3.091,28.517,58.77,0.215,776.946,0.644720311346041,1.00327188291585,NA,NA,NA
"135",2.274,3.075,28.52,58.77,0.214,784.431,0.650931465699657,1.00337742752603,778.015428571429,28.5204285714286,1.00339250532749
"136",2.291,3.26,28.519,58.77,0.214,785.928,0.652173696570381,1.0033422459893,NA,NA,NA
"137",2.311,3.312,28.522,58.774,0.211,784.431,0.650931465699657,1.00344779059949,NA,NA,NA
"138",2.349,3.356,28.522,58.774,0.215,782.934,0.649689234828934,1.00344779059949,NA,NA,NA
