TimeStamp;Quantum [umol/(m^2s)];Batt. [V]
21/08/2018 10:00;1.8;1.53
21/08/2018 10:15;1.9;1.53
21/08/2018 10:30;1.5;1.53
21/08/2018 10:45;1.5;1.53
21/08/2018 11:00;1.8;1.53
21/08/2018 11:15;1.7;1.53
21/08/2018 11:30;5.3;1.53
21/08/2018 11:45;12.8;1.52
21/08/2018 12:00;8.5;1.52
21/08/2018 12:15;12.6;1.52
21/08/2018 12:30;5.4;1.53
21/08/2018 12:45;6;1.52
21/08/2018 13:00;12.7;1.52
21/08/2018 13:15;4.5;1.52
21/08/2018 13:30;10.9;1.52
21/08/2018 13:45;10.4;1.52
21/08/2018 14:00;9.5;1.52
21/08/2018 14:15;8.4;1.52
21/08/2018 14:30;7.2;1.52
21/08/2018 14:45;6.5;1.52
21/08/2018 15:00;6.4;1.52
21/08/2018 15:15;5.7;1.52
21/08/2018 15:30;4.8;1.52
21/08/2018 15:45;4.1;1.52
21/08/2018 16:00;4.1;1.52
21/08/2018 16:15;2.5;1.52
21/08/2018 16:30;3.1;1.52
21/08/2018 16:45;2.9;1.52
21/08/2018 17:00;2.3;1.52
21/08/2018 17:15;2;1.52
21/08/2018 17:30;1.7;1.52
21/08/2018 17:45;1.5;1.52
21/08/2018 18:00;1.2;1.52
21/08/2018 18:15;1.2;1.52
21/08/2018 18:30;1.3;1.52
21/08/2018 18:45;1.1;1.52
21/08/2018 19:00;1.2;1.52
21/08/2018 19:15;1.1;1.52
21/08/2018 19:30;1.1;1.52
21/08/2018 19:45;1.1;1.52
21/08/2018 20:00;1.3;1.52
21/08/2018 20:15;1.2;1.52
21/08/2018 20:30;1.3;1.52
21/08/2018 20:45;1.2;1.52
21/08/2018 21:00;1.3;1.52
21/08/2018 21:15;1.2;1.52
21/08/2018 21:30;1.3;1.52
21/08/2018 21:45;1.2;1.52
21/08/2018 22:00;1.2;1.52
21/08/2018 22:15;1.2;1.52
21/08/2018 22:30;1.2;1.52
21/08/2018 22:45;1.2;1.52
21/08/2018 23:00;1.2;1.52
21/08/2018 23:15;1.2;1.52
21/08/2018 23:30;1.2;1.52
21/08/2018 23:45;1.3;1.52
22/08/2018 00:00;1.2;1.52
22/08/2018 00:15;1.2;1.52
22/08/2018 00:30;1.3;1.52
22/08/2018 00:45;1.1;1.52
22/08/2018 01:00;1.1;1.52
22/08/2018 01:15;1.2;1.52
22/08/2018 01:30;1.2;1.52
22/08/2018 01:45;1.2;1.52
22/08/2018 02:00;1.2;1.52
22/08/2018 02:15;1.2;1.52
22/08/2018 02:30;1.2;1.52
22/08/2018 02:45;1.2;1.52
22/08/2018 03:00;1.3;1.52
22/08/2018 03:15;1.2;1.52
22/08/2018 03:30;1.2;1.52
22/08/2018 03:45;1.2;1.52
22/08/2018 04:00;1.2;1.52
22/08/2018 04:15;1.1;1.52
22/08/2018 04:30;1.2;1.52
22/08/2018 04:45;1.3;1.52
22/08/2018 05:00;1.3;1.52
22/08/2018 05:15;1.2;1.52
22/08/2018 05:30;1.2;1.52
22/08/2018 05:45;1.1;1.52
22/08/2018 06:00;1.3;1.52
22/08/2018 06:15;1.4;1.52
22/08/2018 06:30;1.8;1.52
22/08/2018 06:45;2.3;1.52
22/08/2018 07:00;2.5;1.52
22/08/2018 07:15;4;1.52
22/08/2018 07:30;5;1.52
22/08/2018 07:45;7.2;1.52
22/08/2018 08:00;8.2;1.52
22/08/2018 08:15;9.4;1.52
22/08/2018 08:30;10.9;1.52
22/08/2018 08:45;12.9;1.52
22/08/2018 09:00;14.7;1.52
22/08/2018 09:15;6.4;1.52
22/08/2018 09:30;18.6;1.52
22/08/2018 09:45;10.5;1.52
22/08/2018 10:00;10.9;1.52
22/08/2018 10:15;30.8;1.52
22/08/2018 10:30;13;1.52
22/08/2018 10:45;19.2;1.52
22/08/2018 11:00;14.8;1.52
22/08/2018 11:15;27.5;1.52
22/08/2018 11:30;18.9;1.52
22/08/2018 11:45;12.9;1.52
22/08/2018 12:00;15.2;1.52
22/08/2018 12:15;15.2;1.52
22/08/2018 12:30;15.7;1.52
22/08/2018 12:45;17.4;1.52
22/08/2018 13:00;14.5;1.52
22/08/2018 13:15;35.6;1.52
22/08/2018 13:30;14.9;1.52
22/08/2018 13:45;14.7;1.52
22/08/2018 14:00;13;1.52
22/08/2018 14:15;13.8;1.52
22/08/2018 14:30;23.7;1.52
22/08/2018 14:45;14.7;1.52
22/08/2018 15:00;10.5;1.52
22/08/2018 15:15;17.3;1.52
22/08/2018 15:30;8.4;1.52
22/08/2018 15:45;6.7;1.52
22/08/2018 16:00;5.8;1.52
22/08/2018 16:15;5.2;1.52
22/08/2018 16:30;5.6;1.52
22/08/2018 16:45;4.4;1.52
22/08/2018 17:00;2.9;1.52
22/08/2018 17:15;2.3;1.52
22/08/2018 17:30;2;1.52
22/08/2018 17:45;1.6;1.52
22/08/2018 18:00;1.3;1.52
22/08/2018 18:15;1.2;1.52
22/08/2018 18:30;1.3;1.52
22/08/2018 18:45;1.2;1.52
22/08/2018 19:00;1.3;1.52
22/08/2018 19:15;1.2;1.52
22/08/2018 19:30;1.1;1.52
22/08/2018 19:45;1.2;1.52
22/08/2018 20:00;1.2;1.52
22/08/2018 20:15;1.2;1.52
22/08/2018 20:30;1.3;1.52
22/08/2018 20:45;1.3;1.52
22/08/2018 21:00;1.2;1.52
22/08/2018 21:15;1.4;1.52
22/08/2018 21:30;1.2;1.52
22/08/2018 21:45;1.1;1.52
22/08/2018 22:00;1.3;1.52
22/08/2018 22:15;1.2;1.52
22/08/2018 22:30;1.4;1.52
22/08/2018 22:45;1.2;1.52
22/08/2018 23:00;1.1;1.52
22/08/2018 23:15;1.2;1.52
22/08/2018 23:30;1.2;1.52
22/08/2018 23:45;1.1;1.52
23/08/2018 00:00;1.3;1.52
