TimeStamp;Quantum [umol/(m^2s)];Batt. [V]
21/08/2018 10:00;1.6;1.52
21/08/2018 10:15;1.7;1.52
21/08/2018 10:30;1.5;1.52
21/08/2018 10:45;1.6;1.52
21/08/2018 11:00;2;1.52
21/08/2018 11:15;1.9;1.52
21/08/2018 11:30;5.4;1.52
21/08/2018 11:45;23.4;1.51
21/08/2018 12:00;16.6;1.52
21/08/2018 12:15;29.9;1.52
21/08/2018 12:30;33.6;1.52
21/08/2018 12:45;32;1.52
21/08/2018 13:00;44.4;1.52
21/08/2018 13:15;14.9;1.52
21/08/2018 13:30;40.4;1.51
21/08/2018 13:45;36.4;1.51
21/08/2018 14:00;32.1;1.51
21/08/2018 14:15;29.9;1.52
21/08/2018 14:30;27.7;1.52
21/08/2018 14:45;24;1.51
21/08/2018 15:00;23.3;1.51
21/08/2018 15:15;22.1;1.52
21/08/2018 15:30;18;1.51
21/08/2018 15:45;13.3;1.52
21/08/2018 16:00;12;1.52
21/08/2018 16:15;8.2;1.51
21/08/2018 16:30;9.7;1.52
21/08/2018 16:45;10;1.51
21/08/2018 17:00;7.3;1.52
21/08/2018 17:15;5.4;1.52
21/08/2018 17:30;3.5;1.52
21/08/2018 17:45;1.9;1.52
21/08/2018 18:00;1.5;1.52
21/08/2018 18:15;1.6;1.51
21/08/2018 18:30;1.4;1.51
21/08/2018 18:45;1.4;1.52
21/08/2018 19:00;1.5;1.51
21/08/2018 19:15;1.4;1.51
21/08/2018 19:30;1.4;1.52
21/08/2018 19:45;1.5;1.52
21/08/2018 20:00;1.5;1.51
21/08/2018 20:15;1.4;1.51
21/08/2018 20:30;1.4;1.51
21/08/2018 20:45;1.4;1.52
21/08/2018 21:00;1.4;1.52
21/08/2018 21:15;1.5;1.52
21/08/2018 21:30;1.4;1.51
21/08/2018 21:45;1.5;1.51
21/08/2018 22:00;1.4;1.51
21/08/2018 22:15;1.4;1.51
21/08/2018 22:30;1.5;1.52
21/08/2018 22:45;1.5;1.51
21/08/2018 23:00;1.5;1.51
21/08/2018 23:15;1.4;1.52
21/08/2018 23:30;1.4;1.51
21/08/2018 23:45;1.4;1.51
22/08/2018 00:00;1.5;1.51
22/08/2018 00:15;1.4;1.52
22/08/2018 00:30;1.5;1.51
22/08/2018 00:45;1.5;1.51
22/08/2018 01:00;1.4;1.52
22/08/2018 01:15;1.4;1.52
