TimeStamp;Quantum [umol/(m^2s)];Batt. [V]
21/08/2018 10:00;1.7;1.52
21/08/2018 10:15;1.9;1.52
21/08/2018 10:30;1.8;1.52
21/08/2018 10:45;1.8;1.52
21/08/2018 11:00;1.7;1.51
21/08/2018 11:15;2.3;1.51
21/08/2018 11:30;4.9;1.51
21/08/2018 11:45;11.2;1.51
21/08/2018 12:00;5.2;1.51
21/08/2018 12:15;5.3;1.52
21/08/2018 12:30;80.5;1.51
21/08/2018 12:45;268.5;1.51
21/08/2018 13:00;192.3;1.51
21/08/2018 13:15;200.8;1.51
21/08/2018 13:30;244;1.52
21/08/2018 13:45;133.9;1.51
21/08/2018 14:00;203.2;1.51
21/08/2018 14:15;179.7;1.51
21/08/2018 14:30;173.9;1.51
21/08/2018 14:45;160.1;1.51
21/08/2018 15:00;156;1.51
21/08/2018 15:15;141;1.51
21/08/2018 15:30;124.7;1.51
21/08/2018 15:45;106.5;1.51
21/08/2018 16:00;88.9;1.51
21/08/2018 16:15;70.4;1.51
21/08/2018 16:30;53.5;1.51
21/08/2018 16:45;41.8;1.51
21/08/2018 17:00;31.8;1.51
21/08/2018 17:15;19.9;1.51
21/08/2018 17:30;11;1.51
21/08/2018 17:45;4.7;1.51
21/08/2018 18:00;1.7;1.51
21/08/2018 18:15;1.3;1.51
21/08/2018 18:30;1.3;1.51
21/08/2018 18:45;1.3;1.51
21/08/2018 19:00;1.3;1.51
21/08/2018 19:15;1.3;1.51
21/08/2018 19:30;1.3;1.51
21/08/2018 19:45;1.3;1.51
21/08/2018 20:00;1.3;1.51
21/08/2018 20:15;1.3;1.51
21/08/2018 20:30;1.4;1.5
21/08/2018 20:45;1.4;1.51
21/08/2018 21:00;1.2;1.51
21/08/2018 21:15;1.3;1.51
21/08/2018 21:30;1.3;1.51
21/08/2018 21:45;1.2;1.51
21/08/2018 22:00;1.3;1.51
21/08/2018 22:15;1.3;1.51
21/08/2018 22:30;1.3;1.51
21/08/2018 22:45;1.3;1.51
21/08/2018 23:00;1.4;1.51
21/08/2018 23:15;1.3;1.51
21/08/2018 23:30;1.2;1.51
21/08/2018 23:45;1.3;1.51
22/08/2018 00:00;1.4;1.51
22/08/2018 00:15;1.5;1.51
22/08/2018 00:30;1.3;1.51
22/08/2018 00:45;1.3;1.51
22/08/2018 01:00;1.2;1.51
22/08/2018 01:15;1.3;1.5
22/08/2018 01:30;1.4;1.51
22/08/2018 01:45;1.4;1.51
22/08/2018 02:00;1.3;1.51
22/08/2018 02:15;1.4;1.51
22/08/2018 02:30;1.3;1.5
22/08/2018 02:45;1.4;1.51
22/08/2018 03:00;1.1;1.51
22/08/2018 03:15;1.3;1.5
22/08/2018 03:30;1.2;1.51
22/08/2018 03:45;1.2;1.51
22/08/2018 04:00;1.4;1.51
22/08/2018 04:15;1.3;1.5
22/08/2018 04:30;1.4;1.51
22/08/2018 04:45;1.3;1.51
22/08/2018 05:00;1.3;1.51
22/08/2018 05:15;1.4;1.51
22/08/2018 05:30;1.3;1.5
22/08/2018 05:45;1.3;1.51
22/08/2018 06:00;1.5;1.51
22/08/2018 06:15;4;1.51
22/08/2018 06:30;10.8;1.51
22/08/2018 06:45;18.6;1.51
22/08/2018 07:00;23.6;1.5
22/08/2018 07:15;50.5;1.5
22/08/2018 07:30;71.6;1.51
22/08/2018 07:45;103.3;1.51
22/08/2018 08:00;104.3;1.51
22/08/2018 08:15;130.4;1.5
22/08/2018 08:30;141.7;1.51
22/08/2018 08:45;162.4;1.5
22/08/2018 09:00;203.9;1.51
22/08/2018 09:15;76.7;1.5
22/08/2018 09:30;224.6;1.51
22/08/2018 09:45;170.7;1.51
22/08/2018 10:00;452.4;1.51
22/08/2018 10:15;327.5;1.5
22/08/2018 10:30;141.7;1.51
22/08/2018 10:45;159.1;1.51
22/08/2018 11:00;228.9;1.51
22/08/2018 11:15;225.6;1.5
22/08/2018 11:30;182.1;1.51
22/08/2018 11:45;132.1;1.51
22/08/2018 12:00;153.1;1.51
22/08/2018 12:15;139.4;1.51
22/08/2018 12:30;153.8;1.51
22/08/2018 12:45;162.5;1.51
22/08/2018 13:00;157.6;1.51
22/08/2018 13:15;177.7;1.51
22/08/2018 13:30;262.5;1.51
22/08/2018 13:45;147.8;1.51
22/08/2018 14:00;349.6;1.51
22/08/2018 14:15;318.1;1.51
22/08/2018 14:30;284.8;1.5
22/08/2018 14:45;140.8;1.51
22/08/2018 15:00;105.7;1.51
22/08/2018 15:15;110.7;1.51
22/08/2018 15:30;75.2;1.5
22/08/2018 15:45;65.4;1.51
22/08/2018 16:00;45.9;1.51
22/08/2018 16:15;45.8;1.5
22/08/2018 16:30;45.1;1.5
22/08/2018 16:45;37;1.51
22/08/2018 17:00;24.1;1.5
22/08/2018 17:15;15.4;1.5
22/08/2018 17:30;10.7;1.5
22/08/2018 17:45;5.1;1.51
22/08/2018 18:00;1.7;1.51
22/08/2018 18:15;1.2;1.5
22/08/2018 18:30;1.3;1.5
22/08/2018 18:45;1.4;1.51
22/08/2018 19:00;1.4;1.5
22/08/2018 19:15;1.1;1.5
22/08/2018 19:30;1.2;1.5
22/08/2018 19:45;1.3;1.5
22/08/2018 20:00;1.3;1.5
22/08/2018 20:15;1.2;1.51
22/08/2018 20:30;1.3;1.5
22/08/2018 20:45;1.3;1.51
22/08/2018 21:00;1.2;1.5
22/08/2018 21:15;1.4;1.51
22/08/2018 21:30;1.3;1.5
22/08/2018 21:45;1.3;1.5
22/08/2018 22:00;1.3;1.5
22/08/2018 22:15;1.2;1.5
22/08/2018 22:30;1.4;1.51
22/08/2018 22:45;1.4;1.5
22/08/2018 23:00;1.3;1.51
22/08/2018 23:15;1.3;1.5
22/08/2018 23:30;1.3;1.5
22/08/2018 23:45;1.2;1.5
23/08/2018 00:00;1.3;1.51
23/08/2018 00:15;1.2;1.5
23/08/2018 00:30;1.4;1.5
23/08/2018 00:45;1.3;1.5
23/08/2018 01:00;1.3;1.5
23/08/2018 01:15;1.3;1.51
23/08/2018 01:30;1.2;1.5
23/08/2018 01:45;1.3;1.5
23/08/2018 02:00;1.3;1.5
23/08/2018 02:15;1.3;1.5
23/08/2018 02:30;1.2;1.5
23/08/2018 02:45;1.4;1.51
23/08/2018 03:00;1.3;1.5
23/08/2018 03:15;1.2;1.5
23/08/2018 03:30;1.3;1.5
23/08/2018 03:45;1.4;1.5
23/08/2018 04:00;1.2;1.5
23/08/2018 04:15;1.3;1.5
23/08/2018 04:30;1.3;1.51
23/08/2018 04:45;1.3;1.5
23/08/2018 05:00;1.3;1.51
23/08/2018 05:15;1.3;1.5
23/08/2018 05:30;1.1;1.5
23/08/2018 05:45;1.2;1.5
23/08/2018 06:00;1.5;1.5
23/08/2018 06:15;3.5;1.5
23/08/2018 06:30;9.6;1.5
23/08/2018 06:45;24;1.5
23/08/2018 07:00;37.1;1.5
23/08/2018 07:15;57;1.51
23/08/2018 07:30;78.7;1.5
23/08/2018 07:45;112.8;1.51
23/08/2018 08:00;114.7;1.5
23/08/2018 08:15;74.4;1.5
23/08/2018 08:30;67.3;1.5
23/08/2018 08:45;195.3;1.5
23/08/2018 09:00;206.9;1.5
23/08/2018 09:15;245.6;1.51
23/08/2018 09:30;265.2;1.5
23/08/2018 09:45;250.2;1.5
23/08/2018 10:00;250.2;1.5
23/08/2018 10:15;308.3;1.5
23/08/2018 10:30;271.1;1.5
23/08/2018 10:45;317.1;1.51
23/08/2018 11:00;380.3;1.5
23/08/2018 11:15;344.1;1.5
23/08/2018 11:30;311;1.5
23/08/2018 11:45;325.1;1.5
23/08/2018 12:00;253.3;1.5
23/08/2018 12:15;352.1;1.5
23/08/2018 12:30;408.8;1.5
23/08/2018 12:45;333.3;1.5
23/08/2018 13:00;348.4;1.5
23/08/2018 13:15;277.5;1.5
23/08/2018 13:30;318.7;1.51
23/08/2018 13:45;335.6;1.5
23/08/2018 14:00;304.7;1.5
23/08/2018 14:15;228.5;1.5
23/08/2018 14:30;279;1.5
23/08/2018 14:45;210.2;1.5
23/08/2018 15:00;218.7;1.5
23/08/2018 15:15;175.6;1.5
23/08/2018 15:30;115;1.5
23/08/2018 15:45;99.7;1.5
23/08/2018 16:00;92.6;1.5
23/08/2018 16:15;69;1.5
23/08/2018 16:30;60.2;1.5
23/08/2018 16:45;41.6;1.5
23/08/2018 17:00;28.4;1.5
23/08/2018 17:15;25.4;1.5
23/08/2018 17:30;13.3;1.5
23/08/2018 17:45;5.4;1.5
23/08/2018 18:00;1.5;1.5
23/08/2018 18:15;1.3;1.5
23/08/2018 18:30;1.3;1.5
23/08/2018 18:45;1.3;1.5
23/08/2018 19:00;1.3;1.5
23/08/2018 19:15;1.3;1.5
23/08/2018 19:30;1.3;1.5
23/08/2018 19:45;1.3;1.5
23/08/2018 20:00;1.3;1.5
23/08/2018 20:15;1.4;1.5
23/08/2018 20:30;1.2;1.49
23/08/2018 20:45;1.3;1.5
23/08/2018 21:00;1.3;1.5
23/08/2018 21:15;1.3;1.5
23/08/2018 21:30;1.2;1.5
23/08/2018 21:45;1.3;1.5
23/08/2018 22:00;1.2;1.5
23/08/2018 22:15;1.3;1.5
23/08/2018 22:30;1.1;1.5
23/08/2018 22:45;1.3;1.5
23/08/2018 23:00;1.3;1.5
23/08/2018 23:15;1.3;1.5
23/08/2018 23:30;1.3;1.5
23/08/2018 23:45;1.4;1.5
24/08/2018 00:00;1.2;1.5
24/08/2018 00:15;1.3;1.5
24/08/2018 00:30;1.3;1.5
24/08/2018 00:45;1.3;1.5
24/08/2018 01:00;1.4;1.5
24/08/2018 01:15;1.2;1.5
24/08/2018 01:30;1.2;1.5
24/08/2018 01:45;1.2;1.5
24/08/2018 02:00;1.2;1.5
24/08/2018 02:15;1.2;1.5
24/08/2018 02:30;1.3;1.5
24/08/2018 02:45;1.2;1.5
24/08/2018 03:00;1.3;1.5
24/08/2018 03:15;1.4;1.5
24/08/2018 03:30;1.3;1.5
24/08/2018 03:45;1.3;1.5
24/08/2018 04:00;1.4;1.5
24/08/2018 04:15;1.3;1.5
24/08/2018 04:30;1.3;1.5
24/08/2018 04:45;1.3;1.5
24/08/2018 05:00;1.3;1.5
24/08/2018 05:15;1.2;1.5
24/08/2018 05:30;1.4;1.5
24/08/2018 05:45;1.3;1.5
24/08/2018 06:00;1.6;1.5
24/08/2018 06:15;2.8;1.5
24/08/2018 06:30;11.1;1.5
24/08/2018 06:45;23.1;1.5
24/08/2018 07:00;35.5;1.5
24/08/2018 07:15;51.8;1.5
24/08/2018 07:30;63.1;1.49
24/08/2018 07:45;89.3;1.5
24/08/2018 08:00;117.3;1.5
24/08/2018 08:15;123.5;1.49
24/08/2018 08:30;160;1.5
24/08/2018 08:45;161.6;1.5
24/08/2018 09:00;181.7;1.5
24/08/2018 09:15;218.1;1.5
24/08/2018 09:30;237.4;1.5
24/08/2018 09:45;230.4;1.5
24/08/2018 10:00;193.7;1.5
24/08/2018 10:15;348.6;1.5
24/08/2018 10:30;287.8;1.5
24/08/2018 10:45;315.3;1.5
24/08/2018 11:00;196.5;1.5
24/08/2018 11:15;394.9;1.5
24/08/2018 11:30;341.3;1.5
24/08/2018 11:45;366.8;1.5
24/08/2018 12:00;363.5;1.5
24/08/2018 12:15;316;1.5
24/08/2018 12:30;326.8;1.49
24/08/2018 12:45;361.4;1.5
24/08/2018 13:00;85;1.49
24/08/2018 13:15;309.3;1.5
24/08/2018 13:30;258.2;1.5
24/08/2018 13:45;233.3;1.5
24/08/2018 14:00;122.1;1.5
24/08/2018 14:15;234.7;1.5
24/08/2018 14:30;204.9;1.5
24/08/2018 14:45;205.5;1.5
24/08/2018 15:00;171.1;1.5
24/08/2018 15:15;168.9;1.49
24/08/2018 15:30;148.9;1.5
24/08/2018 15:45;127.5;1.49
24/08/2018 16:00;87.8;1.5
24/08/2018 16:15;74.8;1.5
24/08/2018 16:30;61.1;1.49
24/08/2018 16:45;47;1.5
24/08/2018 17:00;36.2;1.5
24/08/2018 17:15;21.9;1.5
24/08/2018 17:30;10.7;1.5
24/08/2018 17:45;3.9;1.49
24/08/2018 18:00;1.7;1.5
24/08/2018 18:15;1.2;1.49
24/08/2018 18:30;1.3;1.5
24/08/2018 18:45;1.3;1.5
24/08/2018 19:00;1.3;1.49
24/08/2018 19:15;1.3;1.5
24/08/2018 19:30;1.4;1.5
24/08/2018 19:45;1.3;1.5
24/08/2018 20:00;1.3;1.5
24/08/2018 20:15;1.3;1.5
24/08/2018 20:30;1.3;1.49
24/08/2018 20:45;1.3;1.49
24/08/2018 21:00;1.3;1.5
24/08/2018 21:15;1.3;1.49
24/08/2018 21:30;1.3;1.5
24/08/2018 21:45;1.4;1.5
24/08/2018 22:00;1.4;1.5
24/08/2018 22:15;1.2;1.49
24/08/2018 22:30;1.3;1.5
24/08/2018 22:45;1.4;1.5
24/08/2018 23:00;1.3;1.5
24/08/2018 23:15;1.3;1.49
24/08/2018 23:30;1.2;1.5
24/08/2018 23:45;1.2;1.5
25/08/2018 00:00;1.2;1.49
25/08/2018 00:15;1.3;1.5
25/08/2018 00:30;1.3;1.5
25/08/2018 00:45;1.2;1.49
25/08/2018 01:00;1.4;1.5
25/08/2018 01:15;1.3;1.49
25/08/2018 01:30;1.3;1.49
25/08/2018 01:45;1.2;1.5
25/08/2018 02:00;1.3;1.5
25/08/2018 02:15;1.4;1.5
25/08/2018 02:30;1.3;1.5
25/08/2018 02:45;1.4;1.5
25/08/2018 03:00;1.2;1.5
25/08/2018 03:15;1.3;1.5
25/08/2018 03:30;1.2;1.5
25/08/2018 03:45;1.2;1.49
25/08/2018 04:00;1.4;1.5
25/08/2018 04:15;1.2;1.5
25/08/2018 04:30;1.3;1.49
25/08/2018 04:45;1.4;1.5
25/08/2018 05:00;1.2;1.49
25/08/2018 05:15;1.3;1.5
25/08/2018 05:30;1.4;1.5
25/08/2018 05:45;1.4;1.5
25/08/2018 06:00;1.5;1.49
25/08/2018 06:15;4.2;1.5
25/08/2018 06:30;11;1.5
25/08/2018 06:45;21.8;1.5
25/08/2018 07:00;32.4;1.49
25/08/2018 07:15;42.7;1.5
25/08/2018 07:30;60.7;1.5
25/08/2018 07:45;70.4;1.49
25/08/2018 08:00;48.2;1.5
25/08/2018 08:15;136;1.49
25/08/2018 08:30;65.3;1.5
25/08/2018 08:45;159.9;1.49
25/08/2018 09:00;151.5;1.5
25/08/2018 09:15;187.4;1.5
25/08/2018 09:30;54.2;1.5
25/08/2018 09:45;81.5;1.49
25/08/2018 10:00;263.8;1.5
25/08/2018 10:15;245.6;1.49
25/08/2018 10:30;171.1;1.49
25/08/2018 10:45;253.4;1.5
25/08/2018 11:00;248.6;1.49
25/08/2018 11:15;110.5;1.5
25/08/2018 11:30;80.8;1.49
25/08/2018 11:45;101.9;1.49
25/08/2018 12:00;78.1;1.5
25/08/2018 12:15;47.3;1.49
25/08/2018 12:30;65;1.5
25/08/2018 12:45;93.3;1.5
25/08/2018 13:00;39.7;1.5
25/08/2018 13:15;86.3;1.49
25/08/2018 13:30;95.1;1.49
25/08/2018 13:45;105.6;1.5
25/08/2018 14:00;143.2;1.49
25/08/2018 14:15;101.4;1.5
25/08/2018 14:30;106.1;1.49
25/08/2018 14:45;104;1.49
25/08/2018 15:00;84.7;1.49
25/08/2018 15:15;93.1;1.5
25/08/2018 15:30;82.1;1.49
25/08/2018 15:45;71.7;1.5
25/08/2018 16:00;70;1.5
25/08/2018 16:15;51.3;1.49
25/08/2018 16:30;51.8;1.5
25/08/2018 16:45;41;1.49
25/08/2018 17:00;26.8;1.5
25/08/2018 17:15;16.3;1.49
25/08/2018 17:30;9.3;1.5
25/08/2018 17:45;4.3;1.5
25/08/2018 18:00;1.7;1.49
25/08/2018 18:15;1.3;1.5
25/08/2018 18:30;1.3;1.5
25/08/2018 18:45;1.3;1.5
25/08/2018 19:00;1.4;1.49
25/08/2018 19:15;1.4;1.5
25/08/2018 19:30;1.4;1.49
25/08/2018 19:45;1.2;1.49
25/08/2018 20:00;1.3;1.49
25/08/2018 20:15;1.2;1.5
25/08/2018 20:30;1.4;1.49
25/08/2018 20:45;1.2;1.49
25/08/2018 21:00;1.2;1.5
25/08/2018 21:15;1.3;1.49
25/08/2018 21:30;1.3;1.49
25/08/2018 21:45;1.3;1.5
25/08/2018 22:00;1.3;1.5
25/08/2018 22:15;1.4;1.5
25/08/2018 22:30;1.3;1.5
25/08/2018 22:45;1.2;1.49
25/08/2018 23:00;1.4;1.5
25/08/2018 23:15;1.4;1.49
25/08/2018 23:30;1.4;1.5
25/08/2018 23:45;1.3;1.5
