"","Depth","cats","effect1","effect2","estimate","se","lower","upper"
"501",6,"Healthy",6,"Healthy",0.332645635582085,0.174051609893722,0.25338292359499,0.414662507693591
"502",6.84848484848485,"Healthy",6.84848484848485,"Healthy",0.347930850159407,0.174462124698789,0.266954996223427,0.43017289480558
"503",7.6969696969697,"Healthy",7.6969696969697,"Healthy",0.363179378229582,0.175193440065152,0.281220065062377,0.445874997653689
"504",8.54545454545454,"Healthy",8.54545454545454,"Healthy",0.378138117598762,0.174595564421143,0.295812359431183,0.460326904426387
"505",9.39393939393939,"Healthy",9.39393939393939,"Healthy",0.393837743688068,0.17687137807058,0.311417357766438,0.47532215412571
"506",10.2424242424242,"Healthy",10.2424242424242,"Healthy",0.408251996941069,0.178570349393117,0.32758020218727,0.48978422869524
"507",11.0909090909091,"Healthy",11.0909090909091,"Healthy",0.422700096113135,0.180957365321375,0.343320369549213,0.504326894511271
"508",11.9393939393939,"Healthy",11.9393939393939,"Healthy",0.438365231844549,0.182641548069506,0.359073808078677,0.518745604323389
"509",12.7878787878788,"Healthy",12.7878787878788,"Healthy",0.453127316976723,0.183535778554952,0.375289557804367,0.53273132007253
"510",13.6363636363636,"Healthy",13.6363636363636,"Healthy",0.467555503561148,0.185765780113509,0.390730833905011,0.547030340903057
"511",14.4848484848485,"Healthy",14.4848484848485,"Healthy",0.481626329091124,0.186240836807055,0.406045378360083,0.560698808165881
"512",15.3333333333333,"Healthy",15.3333333333333,"Healthy",0.495693150811616,0.186356967245562,0.420894810847285,0.574750816108511
"513",16.1818181818182,"Healthy",16.1818181818182,"Healthy",0.509682682635082,0.18682276729321,0.435839341690392,0.588603212577029
"514",17.030303030303,"Healthy",17.030303030303,"Healthy",0.524050445803708,0.18646129663801,0.44989768696916,0.601417812403885
"515",17.8787878787879,"Healthy",17.8787878787879,"Healthy",0.537791588394202,0.186270751495997,0.464436503245051,0.614872249433266
"516",18.7272727272727,"Healthy",18.7272727272727,"Healthy",0.551488341259889,0.186416572450545,0.47810487412816,0.627432266609552
"517",19.5757575757576,"Healthy",19.5757575757576,"Healthy",0.565069332160271,0.186334217224635,0.49106930787244,0.640244841965325
"518",20.4242424242424,"Healthy",20.4242424242424,"Healthy",0.578731569605199,0.185903563201134,0.5051057748329,0.652359093298112
"519",21.2727272727273,"Healthy",21.2727272727273,"Healthy",0.591910644078059,0.185072599712424,0.518644320081265,0.664951331887402
"520",22.1212121212121,"Healthy",22.1212121212121,"Healthy",0.604653104263726,0.184554136215952,0.531727367257547,0.676326429287226
"521",22.969696969697,"Healthy",22.969696969697,"Healthy",0.617352454101068,0.184831311679194,0.545392686687251,0.688266635996216
"522",23.8181818181818,"Healthy",23.8181818181818,"Healthy",0.629688212804417,0.183485968117987,0.558175458126807,0.698900212853945
"523",24.6666666666667,"Healthy",24.6666666666667,"Healthy",0.641819689458756,0.181726045736005,0.570382612959325,0.709880442188179
"524",25.5151515151515,"Healthy",25.5151515151515,"Healthy",0.653562428467446,0.180161918698068,0.582680374992735,0.720746292607368
"525",26.3636363636364,"Healthy",26.3636363636364,"Healthy",0.664835473770701,0.178688372010244,0.595089472628193,0.732471454135303
"526",27.2121212121212,"Healthy",27.2121212121212,"Healthy",0.676142864835911,0.176936469307425,0.606757526765283,0.742495101379758
"527",28.0606060606061,"Healthy",28.0606060606061,"Healthy",0.686975384391111,0.174982526768455,0.618605946410669,0.752481860987007
"528",28.9090909090909,"Healthy",28.9090909090909,"Healthy",0.697313582250392,0.173098832336245,0.629864671540335,0.76229832496637
"529",29.7575757575758,"Healthy",29.7575757575758,"Healthy",0.707991106790553,0.170111699015935,0.641304200239782,0.772135841879399
"530",30.6060606060606,"Healthy",30.6060606060606,"Healthy",0.717607605540227,0.168568657026099,0.652025293511532,0.781995032417596
"531",31.4545454545455,"Healthy",31.4545454545455,"Healthy",0.727270723272147,0.166155095432334,0.662523952183674,0.791652225908877
"532",32.3030303030303,"Healthy",32.3030303030303,"Healthy",0.736646943562326,0.16378772628161,0.67296552152128,0.800353783527008
"533",33.1515151515152,"Healthy",33.1515151515152,"Healthy",0.745917395246895,0.161467900976679,0.682781257990932,0.809437640149749
"534",34,"Healthy",34,"Healthy",0.754567248802195,0.159524434359396,0.692439322549573,0.817459532054543
"535",34.8484848484848,"Healthy",34.8484848484848,"Healthy",0.763068731259821,0.156527573572305,0.702151556370858,0.825572401579518
"536",35.6969696969697,"Healthy",35.6969696969697,"Healthy",0.771463024624133,0.153932049623534,0.711489468588912,0.833909942286311
"537",36.5454545454545,"Healthy",36.5454545454545,"Healthy",0.77957082489733,0.151237643194327,0.720643715993294,0.841653144582023
"538",37.3939393939394,"Healthy",37.3939393939394,"Healthy",0.787513010535438,0.148271810439969,0.729503914757908,0.848811416343162
"539",38.2424242424242,"Healthy",38.2424242424242,"Healthy",0.795066129746254,0.145315886503438,0.738171048311337,0.855317901270764
"540",39.0909090909091,"Healthy",39.0909090909091,"Healthy",0.802465370521892,0.142247766580817,0.746134285810418,0.862300250179606
"541",39.9393939393939,"Healthy",39.9393939393939,"Healthy",0.810132880119788,0.13883218275703,0.753922127884013,0.868996824756964
"542",40.7878787878788,"Healthy",40.7878787878788,"Healthy",0.816999348330835,0.135968670958813,0.761640552006097,0.875077741730037
"543",41.6363636363636,"Healthy",41.6363636363636,"Healthy",0.823837212622091,0.132915462840436,0.768719465837731,0.881062599401393
"544",42.4848484848485,"Healthy",42.4848484848485,"Healthy",0.830404329654306,0.130142893497567,0.775886033442164,0.886703570302964
"545",43.3333333333333,"Healthy",43.3333333333333,"Healthy",0.83698513902698,0.127245575456141,0.783117627071038,0.892169280555441
"546",44.1818181818182,"Healthy",44.1818181818182,"Healthy",0.843125948417308,0.124336841269165,0.790202930799147,0.897383478157231
